id,title,description,vendor,product_type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485573267706,Beckett Glide,"<p>These moccasins for men are perfect for a casual day out. Made with the finest leather, these moccasins add a touch of dapper to your outfits. Made with a TPR sole, these shoes display high comfort and are perfect for an everyday wear</p>[tab]<p>Upper material : Leather <br>Sole material : TPR</p>[tab]<p>Pair these moccasins with your everyday casual wear. Throw on your regular jeans and you will be perfect to go</p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485574381818,Euro,"<p>These moccasins for men are perfect for a casual day out. Made with the finest leather, these moccasins add a touch of dapper to your outfits. Made with a TPR sole, these shoes display high comfort and are perfect for an everyday wear</p>[tab]<p>Upper material : Finished leather <br>Sole material : TPR</p>[tab]<p>Pair these moccasins with your everyday casual wear. Throw on your regular jeans and you will be perfect to go</p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485574250746,Titan Garrix,"<p>Designed for the trendy man, these formal chappals are one to experiment with. The smart TPR sole adds to the already chic design making it highly reliable and flexible for a long wearability.</p>[tab]<p>Upper material : Synthetic <br>Sole material : TPR</p>[tab]<p>Formal sandals add a very trendy element to the entire outfit. You can pair your formal chappals with something as casual as chino pants or you can experiment with a Linen suit</p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485575364858,SOLIT GTFL,"<p>Made with a sturdy and supple leather, this apron shoe is designed to keep you comfortable and relaxed. The key advantage of this hand lasted shoe is that they fit perfectly with the shape of your foot. Made for extreme durability and foot support, this apron shoe is made to protect your foot from harsh weather and water damage. </p>
<p>[tab]</p>
<p>Upper material : Finished leather </p>
<p>[tab]</p>
<p>Throw on your dapper navy or beige suit with this apron shoe for a sophisticated look!  </p>
<p> </p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485574578426,Fighter,"<p>These formal loafers are designed specifically to lift up your game. Designed with a leather upper, these loafers add an exquisite element to the outfit making it a must have. It is also made with a TPR sole underneath which enhances the walking experience while giving your foot the comfort it needs</p>[tab]<p>Upper material : Finished leather<br>Sole material : TPR</p>[tab]<p>These formal loafers will pair best with your navy or beige suits. Look on point in these formal loafers</p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485574512890,Nike Legend React 2,<p>The Nike Legend React 2 features breathable mesh in the upper and a full-length foam midsole. its made for runners who are ready to go the distance in comfort. This shoe features a wider forefoot and a less compressive upper than the original. Lofted mesh provides breathability with a cozy feeling underfoot.  The 2 infusions of foam result in a supportive ride that moves with you on every mile. There are multiple punch holes for the laces so you have options to customize the fit.</p>[tab]<p>Upper material : Mesh <br>Sole material : EVA <br></p>[tab]<p>Throw on your favorite gym wear or track pants for an active and smart look. You can also pair these highly comfortable Nike shoes with sweaters and regular jeans for a trendy vibe</p>,NIKE,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485625565434,SB-M-LF-0300168,"<p>Men's formal chappal is a new in-trend footwear that is growing well on ease and comfort. Hung on a laid back modish color,this open toed chappal is made with the finest leather that adds a long lasting impression along with utmost durability. The textured leather gives this footwear an element of breathability with great style.</p>[tab]<p>Upper material : Leather<br>Sole material : TPR</p>[tab]<p>Open-toed chappals work best with formally casual settings. You can throw on your white linen pants in the summer time and get your groove going with these chappals.</p>",LARK & FINCH,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485601186042,KL-0152,"<p>Handcrafted with a leather upper, these mocca brown chappals are perfect for a casual day out. The special rubber sole design allows the shoe to reduce the wearout that soles generally experience. Turning walking into a first hand experience, these chappals are a great fit for daily walks and activities.</p>[tab]<p>Upper material : Leather <br>Sole material : Rubber</p>[tab]<p>These open sandals will set out an experience for personal streetwear style. Pair these chappals with chinos and a T shirt for an ultimate laid back look.</p>",PIERRE CARDIN,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485576872186,Stark IMP,"<p>Made with a premium leather upper, these apron shoes create a rather modish look. Specifically designed for comfort, these leather shoes look dapper with almost every formal outfit. While looking its best, the TPR sole has great flexibility and slip-resistance</p>[tab]<p>Upper material : Finished leather <br>Sole material : TPR</p>[tab]<p>For a charming and dressed-up look, these boy's apron shoes can be paired with light colored sweaters or cardigans. For more contrasting looks, you can pair these apron shoes with khaki pants as well</p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485575594234,WARREN MADDOW,"<p>Made for every foot shape, this apron shoe is highly durable and comfortable on the foot. This shoe is designed with a water-resistant leather upper which exudes style and durability. The hand lasted construction of this shoe protects your foot from dirt and water damage. </p>
<p>[tab]</p>
<p>Upper material : Finished leather  </p>
<p>[tab]</p>
<p>Throw on your dapper navy or beige suit with this apron shoe for a sophisticated look! </p>
<p> </p>",HUSH PUPPIES,FOOTWEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
